Team Name,Plays,Wins,loses,Goals scored,Goals Allowed,Goals Differential,Points
阿尔梅里亚,0,0,0,0,0,0,0
毕尔巴鄂竞技,0,0,0,0,0,0,0
马德里竞技,0,0,0,0,0,0,0
巴塞罗那,0,0,0,0,0,0,0
塞尔塔,0,0,0,0,0,0,0
加的斯,0,0,0,0,0,0,0
阿拉维斯,0,0,0,0,0,0,0
赫塔费,0,0,0,0,0,0,0
赫罗纳,0,0,0,0,0,0,0
格拉纳达,0,0,0,0,0,0,0
拉斯帕尔马斯,0,0,0,0,0,0,0
马略卡,0,0,0,0,0,0,0
奥萨苏纳,0,0,0,0,0,0,0
巴列卡诺,0,0,0,0,0,0,0
皇家贝蒂斯,0,0,0,0,0,0,0
皇家马德里,0,0,0,0,0,0,0
皇家社会,0,0,0,0,0,0,0
塞维利亚,0,0,0,0,0,0,0
瓦伦西亚,0,0,0,0,0,0,0
比利亚雷亚尔,0,0,0,0,0,0,0
