Player,Team Name,Goals
弗拉希奇,都灵,5,https://sd.qunliao.info/fastdfs6/M00/0D/52/rBUCgGN82RyAVUKPAAAc8po5LPM097.jpg
洛夫里奇,乌迪内斯,5,https://sd.qunliao.info/fastdfs6/M00/8B/61/rBUCgGJCdlmAB9AzAAAcPqywlEM228.jpg
皮纳蒙蒂,萨索洛,5,https://sd.qunliao.info/fastdfs3/M00/B6/0E/ChOxM1xC7HWACMN6AABdvWwLYHs679.png
达尼-莫塔,蒙扎,5,https://sd.qunliao.info/fastdfs6/M00/01/8B/rBUCgGBil7WAZB3-AAAWuchcPow521.jpg
恩贡戈,维罗纳,5,https://sd.qunliao.info/fastdfs6/M00/B4/58/rBUCgGPOTWiAMifDAAAYm8tZvCA317.jpg
儒尼奥尔-梅西亚斯,AC米兰,5,https://sd.qunliao.info/fastdfs6/M00/BB/87/rBUCgGMVbfKAcKvBAAAc6QYeiig779.jpg
洛伦佐-科隆博,莱切,5,https://sd.qunliao.info/fastdfs6/M00/37/79/rBUESWEeBumASS5DAAAZFod2Pik770.jpg
拉扎尔-萨马尔季奇,乌迪内斯,5,https://sd.qunliao.info/fastdfs6/M00/7F/60/rBUESWMNe_uAGr62AAAXvuq9gj4345.jpg
迪马利亚,尤文图斯,4,https://sd.qunliao.info/fastdfs6/M00/00/8C/rBUESWN7nTCAWjXVAAAaWosCakE071.jpg
拉佐维奇,维罗纳,4,https://sd.qunliao.info/fastdfs6/M00/2F/3E/rBUCgGN_nYSAGbfvAAAZzjd5Nfg432.jpg
佩德罗,拉齐奥,4,https://sd.qunliao.info/fastdfs4/M00/D5/7C/ChMf8F1X29eAb1QEAAAdaF8WiGU373.jpg
桑索内,博洛尼亚,4,https://sd.qunliao.info/fastdfs3/M00/B6/96/ChOxM1xC9W2AEVIfAAByiH4-6z0549.png
萨波纳拉,佛罗伦萨,4,https://sd.qunliao.info/fastdfs3/M00/B6/BE/ChOxM1xC-b6AG5x-AABxBtZyCtg993.png
维列纳,萨勒尼塔纳,4,https://sd.qunliao.info/fastdfs5/M00/4D/B0/rB8BO1-XnpKARoTaAAAmy7XqyQs645.jpg
扎帕科斯塔,亚特兰大,4,https://sd.qunliao.info/fastdfs3/M00/B7/1C/ChOxM1xC_9CALnJ6AABu8Y6cId8324.png
迪马尔科,国际米兰,4,https://sd.qunliao.info/fastdfs6/M00/2C/8F/rBUCgGMoIPGAToPQAAAcARiPqMM428.jpg
佩塔尼亚,蒙扎,4,https://sd.qunliao.info/fastdfs3/M00/B6/E2/ChOxM1xC-9iAIPFFAAB3Y1tdAuY971.png
阿列克谢-米兰丘克,都灵,4,https://sd.qunliao.info/fastdfs3/M00/B6/FB/ChOxM1xC_S-AFMjEAAAeg-OPMZs823.jpg
乔瓦尼-西蒙尼,那不勒斯,4,https://sd.qunliao.info/fastdfs6/M00/D5/D7/rBUESWMZU_qABPuIAAAbzXWmgd8622.jpg
洛伦佐-佩莱格里尼,罗马,4,https://sd.qunliao.info/fastdfs3/M00/B5/DE/ChOxM1xC6biAbOG9AABl4B1M_yg392.png
皮扬特克,萨勒尼塔纳,4,https://sd.qunliao.info/fastdfs6/M00/02/37/rBUESWN7w5qAA-oKAAAY-VvEf_8397.jpg
特奥-埃尔南德斯,AC米兰,4,https://sd.qunliao.info/fastdfs6/M00/02/7F/rBUCgGN73ACAIfxlAAAeQ12AOVM900.jpg
伊科内,佛罗伦萨,4,https://sd.qunliao.info/fastdfs5/M00/3B/C9/rB8BO19NsJyAT4kDAAAXhUp5mzE931.jpg
卡拉莫,都灵,4,https://sd.qunliao.info/fastdfs3/M00/B5/F2/ChOxM1xC6uuAdKmvAABhQiiwAZM856.png
马特乌斯-恩里克,萨索洛,4,https://sd.qunliao.info/fastdfs6/M00/2B/5E/rBUESWD5N3-ANi0bAAAXg8i-Mdk942.jpg
夸梅,佛罗伦萨,4,https://sd.qunliao.info/fastdfs6/M00/2A/F8/rBUCgGD34OGATiVFAAAbsZX7_R4905.jpg
布雷默,尤文图斯,4,https://sd.qunliao.info/fastdfs6/M00/2E/23/rBUESWN_jf-AKapvAAAd7qJRJUs497.jpg
科尔帕尼,蒙扎,4,https://sd.qunliao.info/fastdfs4/M00/C9/01/ChMf8FybJHOAMMVwAAAdEjMVd9U929.jpg
巴尔丹齐,恩波利,4,https://sd.qunliao.info/fastdfs6/M00/F4/95/rBUCgGLgrUOAclQ4AAAcagBRkqQ948.jpg
姆希塔良,国际米兰,3,https://sd.qunliao.info/fastdfs6/M00/2C/8B/rBUESWMoH0OAFBE_AAAblsSiiKs808.jpg
法劳尼,维罗纳,3,https://sd.qunliao.info/fastdfs4/M00/DC/A2/ChMf8F1w1k2APEswAAAa2Su52jQ654.jpg
达尼洛,尤文图斯,3,https://sd.qunliao.info/fastdfs6/M00/2E/21/rBUCgGN_jkqAU-RsAAAcbYNh7m4745.jpg
斯莫林,罗马,3,https://sd.qunliao.info/fastdfs4/M00/D1/D3/ChMf8F1NSwWAA9fYAAAd8yx2LF8628.jpg
穆里尔,亚特兰大,3,https://sd.qunliao.info/fastdfs3/M00/B6/6F/ChOxM1xC8j-AMsyMAAAsd-BParo586.jpg
久里契奇,桑普多利亚,3,https://sd.qunliao.info/fastdfs6/M00/2F/3B/rBUCgGN_nVqAQw6YAAAZu_rM-dM362.jpg
德容恩,亚特兰大,3,https://sd.qunliao.info/fastdfs6/M00/DF/EA/rBUCgGN3OiaANCHMAAAdl9zEhXQ566.jpg
布罗佐维奇,国际米兰,3,https://sd.qunliao.info/fastdfs6/M00/0D/69/rBUESWN82ZOAKF6YAAAbwuBHotc174.jpg
科斯蒂奇,尤文图斯,3,https://sd.qunliao.info/fastdfs6/M00/2F/3E/rBUESWN_nOWASh5TAAAcAG8167o722.jpg
恰尔汗奥卢,国际米兰,3,https://sd.qunliao.info/fastdfs6/M00/2C/87/rBUCgGMoHxmAeJ_LAAAea6Ao1KY432.jpg
泽林斯基,那不勒斯,3,https://sd.qunliao.info/fastdfs6/M00/02/45/rBUCgGN7x0iAQNTfAAAXoDzZJcM751.jpg
雷比奇,AC米兰,3,https://sd.qunliao.info/fastdfs6/M00/BB/7F/rBUCgGMVbPmAJ7wHAAAaDtj0BgE265.jpg
迪洛伦佐,那不勒斯,3,https://sd.qunliao.info/fastdfs6/M00/1B/62/rBUESWDEI6mAeAG7AAAbw4iTpoA551.jpg
华金-科雷亚,国际米兰,3,https://sd.qunliao.info/fastdfs6/M00/2C/7F/rBUESWMoHLeAIZVHAAAcYSi-ShE017.jpg
波利塔诺,那不勒斯,3,https://sd.qunliao.info/fastdfs3/M00/B6/C1/ChOxM1xC-f2ASGMnAABvOBGmlr0878.png
森西,蒙扎,3,https://sd.qunliao.info/fastdfs5/M00/52/26/rB8CCl-rhEiAY4DoAAAbdvgyIjA311.jpg
戈森斯,国际米兰,3,https://sd.qunliao.info/fastdfs6/M00/2C/87/rBUESWMoHmGAe0ovAAAdcLw6a6Y856.jpg
洛萨诺,那不勒斯,3,https://sd.qunliao.info/fastdfs6/M00/02/5B/rBUCgGN7zXWAVuTuAAAaVxxyyUE491.jpg
韦尔德,斯佩齐亚,3,https://sd.qunliao.info/fastdfs3/M00/B5/ED/ChOxM1xC6peAL6y3AAAqH94F6Oo530.jpg
巴斯基罗托,莱切,3,https://sd.qunliao.info/fastdfs6/M00/E4/37/rBUESWLeP4yASBIKAAAaCVxguGg342.jpg
拉萨纳-库利巴利,萨勒尼塔纳,3,https://sd.qunliao.info/fastdfs5/M00/3B/F0/rB8CCl9OF7SAHAhrAAAY8-7U2LU942.jpg
赞博-安古伊萨,那不勒斯,3,https://sd.qunliao.info/fastdfs6/M00/21/B5/rBUESWN-cm-AcaybAAAhPMaSRZA360.jpg
欧登,莱切,3,https://sd.qunliao.info/fastdfs4/M00/C9/99/ChMf8FzIIOiAUTX-AAAcVZAX964114.jpg
梅勒,亚特兰大,3,https://sd.qunliao.info/fastdfs6/M00/01/3A/rBUESWN7rACAWBcnAAAaQVwcqfI918.jpg
尼古拉斯-多明格斯,博洛尼亚,3,https://sd.qunliao.info/fastdfs6/M00/1D/CD/rBUESWDK-k6AaJ-bAAAWaD6CBjc355.jpg
罗热-伊巴涅斯,罗马,3,https://sd.qunliao.info/fastdfs6/M00/42/E0/rBUCgGFC9HCAGJHXAAAasCpP3QA768.jpg
比约尔,乌迪内斯,3,https://sd.qunliao.info/fastdfs3/M00/B6/49/ChOxM1xC79WATWtUAAAfAB8lc-w722.jpg
穆萨-巴罗,博洛尼亚,3,https://sd.qunliao.info/fastdfs4/M00/FC/3F/ChMf8F4ix3qAOCqzAAAZ1p7YdsI320.jpg
查茹,克雷莫内塞,3,https://sd.qunliao.info/fastdfs4/M00/C8/FF/ChNLklybVtCAJvkIAAAcVoWWBMQ568.jpg
法乔利,尤文图斯,3,https://sd.qunliao.info/fastdfs6/M00/C3/3C/rBUCgGQhDwuAGUvzAAAZkEBYd48736.jpg
乌多基,乌迪内斯,3,https://sd.qunliao.info/fastdfs6/M00/9E/B4/rBUCgGNuFleADAWXAAAccwBphQE487.jpg
威纳尔杜姆,罗马,2,https://sd.qunliao.info/fastdfs4/M00/D2/23/ChNLkl1OLBuANi__AAAa16zBeDs758.jpg
杜万-萨帕塔,亚特兰大,2,https://sd.qunliao.info/fastdfs4/M00/FC/3B/ChNLkl4iy0mAJGVoAAAd7JuC16o692.jpg
马蒂奇,罗马,2,https://sd.qunliao.info/fastdfs4/M00/D1/D2/ChMf8F1NSLSAEsG5AAAbQ_sIkJw000.jpg
拉斐尔-托洛伊,亚特兰大,2,https://sd.qunliao.info/fastdfs5/M00/09/E9/rB8BO1550AiAGOaaAAAeJhrY3MA360.jpg
尼斯托罗夫斯基,乌迪内斯,2,https://sd.qunliao.info/fastdfs6/M00/7F/57/rBUESWMNeveAZ3o2AAAWokvoavc468.jpg
卡尔迪罗拉,蒙扎,2,https://sd.qunliao.info/fastdfs3/M00/B6/84/ChOxM1xC86iAAIwYAABws30Xtos602.png
贝西诺,拉齐奥,2,https://sd.qunliao.info/fastdfs6/M00/21/EA/rBUCgGN-grqAXHipAAAbAY0kq_4474.jpg
德乌洛费乌,乌迪内斯,2,https://sd.qunliao.info/fastdfs6/M00/7F/4E/rBUCgGMNeqCAJE3EAAAYdlp0AL0931.jpg
切凯里尼,维罗纳,2,https://sd.qunliao.info/fastdfs3/M00/B6/DB/ChOxM1xC-5aAGfOjAABrJI3RSOg955.png
比拉吉,佛罗伦萨,2,https://sd.qunliao.info/fastdfs3/M00/B6/E3/ChOxM1xC--aAOyR8AABp1wFaANc164.png
德弗雷尔,萨索洛,2,https://sd.qunliao.info/fastdfs3/M00/B7/07/ChOxM1xC_gaAK4bIAABwnGk0Xzw361.png
里科吉安尼斯,博洛尼亚,2,https://sd.qunliao.info/fastdfs4/M00/E7/85/ChMf8F2tjFmACxf7AAAa0_pjI64847.jpg
奥里吉,AC米兰,2,https://sd.qunliao.info/fastdfs6/M00/BB/8C/rBUESWMVbbuAIVdHAAAX_oySPmU782.jpg
罗马尼奥利,拉齐奥,2,https://sd.qunliao.info/fastdfs4/M00/C8/FF/ChNLklybTCiAHgINAAAbHcEa2kE302.jpg
奥杰洛,桑普多利亚,2,https://sd.qunliao.info/fastdfs4/M00/FC/40/ChNLkl4i4WWACnzDAAAdaC5ugPo753.jpg
阿米尔-拉赫马尼,那不勒斯,2,https://sd.qunliao.info/fastdfs4/M00/DC/A2/ChMf8F1w1suAfAQ2AAAd3ChiCx4640.jpg
博加,亚特兰大,2,https://sd.qunliao.info/fastdfs3/M00/B6/E0/ChOxM1xC-8OADBNKAABuokX3yRM904.png
马西纳,乌迪内斯,2,https://sd.qunliao.info/fastdfs3/M00/B6/E0/ChOxM1xC-8qAHbXxAAAXXPOpbfM495.jpg
托马斯-亨利,维罗纳,2,https://sd.qunliao.info/fastdfs6/M00/B2/4D/rBUCgGKz2sCAbUucAAAXhQ7pQF0424.jpg
萨萨-卢基奇,都灵,2,https://sd.qunliao.info/fastdfs6/M00/2F/30/rBUCgGN_nK2AddcOAAAazx34VBg185.jpg
拉多尼奇,都灵,2,https://sd.qunliao.info/fastdfs6/M00/2F/24/rBUESWN_mumAf9CiAAAebE07BzE644.jpg
拉兹万-马林,恩波利,2,https://sd.qunliao.info/fastdfs5/M00/40/7E/rB8BO19gmziAGXnTAAAZeBPJAuU301.jpg
博纳佐利,萨勒尼塔纳,2,https://sd.qunliao.info/fastdfs4/M00/FC/40/ChNLkl4i42mAAaJsAAAfIjtaEN0477.jpg
迪弗朗西斯科,莱切,2,https://sd.qunliao.info/fastdfs3/M00/B6/F8/ChOxM1xC_QaAZRg_AAB7mCamb9M318.png
安东宁-巴拉克,佛罗伦萨,2,https://sd.qunliao.info/fastdfs6/M00/20/08/rBUESWDRtXeAPeg6AAAW_qQ_lks549.jpg
卢佩尔托,恩波利,2,https://sd.qunliao.info/fastdfs4/M00/CB/2C/ChNLkl02z4SASnlgAAAcPRPzFU0864.jpg
卡斯坦诺斯,萨勒尼塔纳,2,https://sd.qunliao.info/fastdfs6/M00/9C/20/rBUESWJ2EnqAdfFMAAAc4GzH9Bs275.jpg
马佐基,萨勒尼塔纳,2,https://sd.qunliao.info/fastdfs6/M00/36/47/rBUESWEaB96AZudmAAAapeOJOc8936.jpg
巴斯托尼,斯佩齐亚,2,https://sd.qunliao.info/fastdfs5/M00/40/6E/rB8CCl9gNUiAAL9zAAAWREphZUE051.jpg
